name,start_time,end_time,report,formulate_bal
"B_M_Isla",1970-01-01-00:00,2060-01-01-00:00,true,true
"CANACO",1970-01-01-00:00,2060-01-01-00:00,true,true
"CANHORN",1970-01-01-00:00,2060-01-01-00:00,true,true
"HLH_Tinguiririca",1970-01-01-00:00,2060-01-01-00:00,true,true
"Rio_Teno",1970-01-01-00:00,2060-01-01-00:00,true,true
"B_Maule",1970-01-01-00:00,2060-01-01-00:00,true,true
"Rio_Melado",1970-01-01-00:00,2060-01-01-00:00,true,true
"C_Melado",1970-01-01-00:00,2060-01-01-00:00,true,true
"B_C_Isla",1970-01-01-00:00,2060-01-01-00:00,true,true
"Balance_Tucapel",1970-01-01-00:00,2060-01-01-00:00,true,true
"CANBLANCO",1970-01-01-00:00,2060-01-01-00:00,true,true
"CANCHAC",1970-01-01-00:00,2060-01-01-00:00,true,true
"CMNTronco_2",1970-01-01-00:00,2060-01-01-00:00,true,true
"CMNTronco_1",1970-01-01-00:00,2060-01-01-00:00,true,true
"HLH_Azufre",1970-01-01-00:00,2060-01-01-00:00,true,true
"HLC_Portillo",1970-01-01-00:00,2060-01-01-00:00,true,true
"A_Chacayes",1970-01-01-00:00,2060-01-01-00:00,true,true
"Cipreses_Chac",1970-01-01-00:00,2060-01-01-00:00,true,true
"Canal_Laja",1970-01-01-00:00,2060-01-01-00:00,true,true
"CANECOL",1970-01-01-00:00,2060-01-01-00:00,true,true
"CANRUCUE",1970-01-01-00:00,2060-01-01-00:00,true,true
"CLAJRUCUE",1970-01-01-00:00,2060-01-01-00:00,true,true
"RIEGZACO",1970-01-01-00:00,2060-01-01-00:00,true,true
"MAR",1970-01-01-00:00,2060-01-01-00:00,true,false
"Sur123_SCDZ",1970-01-01-00:00,2050-01-01-00:00,true,true
