name,start_time,end_time,report,busbar,connected,demand,projection_type,voltage,voll,owner
"L_NuevaCharrua500",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaCharrua500",true,0,"Proj_NuevaCharrua500",500,416,None
"L_Cumbre500",1970-01-01-00:00,2060-01-01-00:00,true,"Cumbre500",true,0,"Proj_Cumbre500",500,416,None
"L_Pichirropulli500",1970-01-01-00:00,2060-01-01-00:00,true,"Pichirropulli500",true,0,"Proj_Pichirropulli500",500,416,None
"L_Polpaico500",1970-01-01-00:00,2060-01-01-00:00,true,"Polpaico500",true,0,"Proj_Polpaico500",500,416,None
"L_Ancud500",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaAncud500",true,0,"Proj_Ancud500",500,416,None
"L_AltoJahuel500",1970-01-01-00:00,2060-01-01-00:00,true,"AltoJahuel500",true,0,"Proj_AltoJahuel500",500,416,None
"L_NuevaCardones500",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaCardones500",true,0,"Proj_NuevaCardones500",500,416,None
"L_Ancoa500",1970-01-01-00:00,2060-01-01-00:00,true,"Ancoa500",true,0,"Proj_Ancoa500",500,416,None
"L_RioMalleco500",1970-01-01-00:00,2060-01-01-00:00,true,"RioMalleco500",true,0,"Proj_RioMalleco500",500,416,None
"L_NuevaPandeAzucar500",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaPandeAzucar500",true,0,"Proj_NuevaPandeAzucar500",500,416,None
"L_NuevaMaitencillo500",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaMaitencillo500",true,0,"Proj_NuevaMaitencillo500",500,416,None
"L_NuevaPuertoMontt500",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaPuertoMontt500",true,0,"Proj_NuevaPuertoMontt500",500,416,None
"L_Parinas500",1970-01-01-00:00,2060-01-01-00:00,true,"Parinas500",true,0,"Proj_Parinas500",500,416,None
"L_NuevaZaldivar220",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaZaldivar220",true,0,"Proj_NuevaZaldivar220",220,650,None
"L_Kimal500",1970-01-01-00:00,2060-01-01-00:00,true,"Kimal500",true,0,"Proj_Kimal500",500,416,None
"L_LosChangos500",1970-01-01-00:00,2060-01-01-00:00,true,"LosChangos500",true,0,"Proj_LosChangos500",500,416,None
"L_Lagunas220",1970-01-01-00:00,2060-01-01-00:00,true,"Lagunas220",true,0,"Proj_Lagunas220",220,416,None
"L_Kimal220",1970-01-01-00:00,2060-01-01-00:00,true,"Kimal220",true,0,"Proj_Kimal220",220,416,None
"L_LosChangos220",1970-01-01-00:00,2060-01-01-00:00,true,"LosChangos220",true,0,"Proj_LosChangos220",220,416,None
"L_Parinacota220",1970-01-01-00:00,2060-01-01-00:00,true,"Parinacota220",true,0,"Proj_Parinacota220",220,650,None
"L_NuevaPozoAlmonte220",1970-01-01-00:00,2060-01-01-00:00,true,"NuevaPozoAlmonte220",true,0,"Proj_NuevaPozoAlmonte220",220,416,None
"L_Quillota500",1970-01-01-00:00,2060-01-01-00:00,true,"Quillota500",true,0,"Proj_Quillota500",500,416,None
"L_Rapel500",1970-01-01-00:00,2060-01-01-00:00,true,"Rapel500",true,0,"Proj_Rapel500",500,416,None
"L_Concepcion500",1970-01-01-00:00,2060-01-01-00:00,true,"Concepcion500",true,0,"Proj_Concepcion500",500,416,None
"L_Mulchen500",1970-01-01-00:00,2060-01-01-00:00,true,"Mulchen500",true,0,"Proj_Mulchen500",500,416,None
"L_Candelaria500",1970-01-01-00:00,2060-01-01-00:00,true,"Candelaria500",true,0,"Proj_Candelaria500",500,416,None
