key,value
NuevaCharrua500,"BusbarRow(name='NuevaCharrua500', voltage=500.0, voll=0.0)"
Cumbre500,"BusbarRow(name='Cumbre500', voltage=500.0, voll=0.0)"
Pichirropulli500,"BusbarRow(name='Pichirropulli500', voltage=500.0, voll=0.0)"
Polpaico500,"BusbarRow(name='Polpaico500', voltage=500.0, voll=0.0)"
NuevaAncud500,"BusbarRow(name='NuevaAncud500', voltage=500.0, voll=0.0)"
AltoJahuel500,"BusbarRow(name='AltoJahuel500', voltage=500.0, voll=0.0)"
NuevaCardones500,"BusbarRow(name='NuevaCardones500', voltage=500.0, voll=0.0)"
Ancoa500,"BusbarRow(name='Ancoa500', voltage=500.0, voll=0.0)"
RioMalleco500,"BusbarRow(name='RioMalleco500', voltage=500.0, voll=0.0)"
NuevaPandeAzucar500,"BusbarRow(name='NuevaPandeAzucar500', voltage=500.0, voll=0.0)"
NuevaMaitencillo500,"BusbarRow(name='NuevaMaitencillo500', voltage=500.0, voll=0.0)"
NuevaPuertoMontt500,"BusbarRow(name='NuevaPuertoMontt500', voltage=500.0, voll=0.0)"
Parinas500,"BusbarRow(name='Parinas500', voltage=500.0, voll=0.0)"
NuevaZaldivar220,"BusbarRow(name='NuevaZaldivar220', voltage=220.0, voll=0.0)"
Kimal500,"BusbarRow(name='Kimal500', voltage=500.0, voll=0.0)"
LosChangos500,"BusbarRow(name='LosChangos500', voltage=500.0, voll=0.0)"
Lagunas220,"BusbarRow(name='Lagunas220', voltage=220.0, voll=0.0)"
Kimal220,"BusbarRow(name='Kimal220', voltage=220.0, voll=0.0)"
LosChangos220,"BusbarRow(name='LosChangos220', voltage=220.0, voll=0.0)"
NuevaPozoAlmonte220,"BusbarRow(name='NuevaPozoAlmonte220', voltage=220.0, voll=0.0)"
Parinacota220,"BusbarRow(name='Parinacota220', voltage=220.0, voll=0.0)"
Quillota500,"BusbarRow(name='Quillota500', voltage=500.0, voll=0.0)"
Candelaria500,"BusbarRow(name='Candelaria500', voltage=500.0, voll=0.0)"
Rapel500,"BusbarRow(name='Rapel500', voltage=500.0, voll=0.0)"
Concepcion500,"BusbarRow(name='Concepcion500', voltage=500.0, voll=0.0)"
Mulchen500,"BusbarRow(name='Mulchen500', voltage=500.0, voll=0.0)"
Lagunas500,"BusbarRow(name='Lagunas500', voltage=500.0, voll=0.0)"
VadoPedregoso500,"BusbarRow(name='VadoPedregoso500', voltage=500.0, voll=0.0)"
